Change Component Footprint: Designator=SW2 Old Footprint=CHS-02TA New Footprint=DS01-254-S-02BE
Change Component Comment : Designator=SW2 Old Comment=SWITCH SLIDE DIP SPST 100MA 6V New Comment=DIP SWITCH, SPST, 2.54 PITCH, RA
Change component parameters: Designator = "SW2" ("SW2"); Footprint = "CHS-02TA"; UniqueID = "\OOUNWCUD\SDVWZOTQ" ("\OOUNWCUD\SDVWZOTQ")
Change component parameters (AddParameter): Name = "Actuator Height"; Value = "Raised (0.050in)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer's Website"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.cuidevices.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Component Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.cuidevices.com/product/resource/ds01-254.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "Octopart Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "https://octopart.com/ds01-254-s-02be-cui+devices-106793977?r=sp"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Copper Alloy Gold Finish"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Electrical Life"; Value = "2000 Cycles"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "CUI Devices"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "DS01-254-S-02BE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Style"; Value = "Through Hole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Switches"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "DS01-254-S-02BE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Current (A)"; Value = "25mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage (V)"; Value = "24VDC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "2223-DS01-254-S-02BE-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Switch Function"; Value = "Off-On"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range"; Value = "-40°C ~ 85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Throw Configuration"; Value = "2xSPST"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "DIP"; VariantName = "[No Variations]"
